Name,Category,Image,Latitude,Longitude
iChill Theater Cafe,null,ichill_img,14.612746,120.990947
Cafe Kivhan Coffee,null,cafe_kivhan_coffee,null,null
Figaro Coffee Company,null,figaro_coffee_company,null,null
Beyond Coffee Manila,null,beyond_coffee_manila,null,null
Amo Yamie Crib Espana,null,amo_yamie_crib_espana,null,null
Starbucks Coffee Dapitan Branch,null,starbucks_coffee_dapitan_branch,null,null
Cafe Churro,null,cafe_churro,null,null
Coffee Indulgence,null,coffee_indulgence,null,null
Cafe-UK,null,cafe_uk,null,null
Starbucks P. Noval,null,starbucks_noval,null,null
Floti Cafe,null,floti_cafe,null,null
Seattle's Best,null,seattles_best,null,null
Cafe-UK Co. - Mendiola,null,cafe_uk_co_mendiola,null,null
Starbucks Coffee SM San Lazaro,null,starbucks_coffee_sm_san_lazaro,null,null
Cafe UK Dapitan,null,cafe_uk_dapitan,null,null
Wit Avenue Cafe & Bar,null,wit_avenue_cafe_bar,null,null
Bo's Coffee,null,bos_coffee,null,null
La Taza,null,la_taza,null,null
Amor Bakery,null,amor_bakery,null,null
Mamang Taho Coffee Shop,null,mamang_taho_coffee_shop,null,null
Bon AppeTEA - Espana,null,bon_appetea_espana,null,null
Starbucks Coffee UST Carpark,null,starbucks_coffee_ust_carpark,null,null
Fritzo Cafe,null,fritzo_cafe,null,null
Hub Urban Coffee,null,hub_urban_coffee,null,null
